file_name	homograph	selected_wordid	sentence	MFA-Arpabet-2-IPA
sw04080_s149_1-s149_9.TextGrid	bow	bow_nou-knot	You know I have done some bow hunting	bo
sw02938_s82_1-s82_34.TextGrid	close	close_vrb	In Texas I m serious if it gets cold and it looks like it s going to rain I i swear they close everything down	klos
sw03269_s98_1-s98_27.TextGrid	close	close_vrb	Well if they close it in see we  have the best of both worlds then as they  talking about doing	klos
sw02503_s127_1-s127_79.TextGrid	close	close_vrb	Like if I if I put her in a room all by herself and close the door and leave her there for a few hours uh because I was going out she would uh break something or rip up the carpet or do something just to uh to to let me know that she was unhappy with what I did	kloz
sw04333_s31_2-s31_45.TextGrid	close	close_vrb	But but supposedly once you have an office in d c or you know and and staff it with people it s really tough to close it down	kloz
sw03368_s137_1-s137_12.TextGrid	close	close_vrb	And uh I just close it out I guess	kloz
sw03495_s47_1-s47_24.TextGrid	decrease	decrease_nou	Uh I guess the other thing was that are causing a lot of the crime now is the decrease in values	ˈdiˌkris
sw03206_s90_1-s90_16.TextGrid	duplicate	duplicate_adj-nou	And I do n't know why we could n't have duplicate voting on some of this	ˈduplʌkʌt
sw03746_s86_1-s86_14.TextGrid	graduate	graduate_vrb	Uh as a course for p e you know so I could graduate	ˈgrædʒuˌet
sw02868_s120_1-s120_38.TextGrid	graduate	graduate_vrb	Uh we just came back from uh uh grand rapids where we saw one of our sons graduate from uh with his master s degree in social work	ˈgrædʒuˌet
sw03408_s8_1-s8_6.TextGrid	graduate	graduate_vrb	And what did you graduate in	ˈgrædʒuˌet
sw03497_s66_2-s66_12.TextGrid	graduate	graduate_vrb	But so how long ago did you graduate	ˈgrædʒuˌet
sw02789_s49_1-s49_8.TextGrid	graduate	graduate_vrb	I m about to graduate from college	ˈgrædʒuˌet
sw03497_s163_1-s163_7.TextGrid	graduate	graduate_vrb	Did you graduate in a certain field	ˈgrædʒuˌet
sw03134_s138_1-s138_35.TextGrid	graduate	graduate_vrb	And one of the plano school district s you know goals is that they will graduate every child that uh that is here in the ninth grade	ˈgrædʒuˌet
sw04174_s70_2-s70_49.TextGrid	graduate	graduate_vrb	 actually I m I m I m more interested in in in choosing the right j job when you graduate type information	ˈgrædʒuˌet
sw02789_s267_1-s267_12.TextGrid	graduate	graduate_vrb	I plan on getting back once I graduate next weekend	ˈgrædʒuˌet
sw02549_s240_1-s240_14.TextGrid	graduate	graduate_vrb	So uh uh you know did you graduate from purdue	ˈgrædʒuˌet
sw04079_s61_1-s61_37.TextGrid	increase	increase_vrb	And I am making every effort to to put a little bit away and increase the amount that I need for a down payment or whatever	ɪˈnkris
sw03409_s96_1-s96_12.TextGrid	increase	increase_vrb	And then they just keep wanting you to increase your limit	ɪˈnkris
sw03523_s6_1-s6_11.TextGrid	increase	increase_vrb	And that s probably going to increase you know	ˈɪˌnkris
sw04707_s105_1-s105_21.TextGrid	increase	increase_vrb	People would rather uh increase the fire department and cut down the schools because it means more to them	ɪˈnkris
sw02818_s126_1-s126_20.TextGrid	increase	increase_vrb	I think your patient level must needs to increase as the child gets older	ɪˈnkris
sw02672_s29_1-s29_26.TextGrid	initiate	initiate_vrb	But they  they  supposed to initiate that some sometime in the next couple of months	ɪˈnɪʃiˌet
sw02485_s217_1-s217_18.TextGrid	invite	invite_vrb	Was it hard to decide who to invite and who not to invite	ɪˈnvaɪt
sw03811_s105_1-s105_62.TextGrid	lead	lead_nou-vrb	I think that uh my own interest in in development human development leads me to believe that that s a good sign and that uh private enterprise is the way to go and that it will lead to a fundamental change in the way we learn	lid
sw03763_s99_1-s99_43.TextGrid	lead	lead_nou-vrb	You know it s too bad that uh it has to be a forty two year old guy to to lead the uh the rangers you know	lid
sw04114_s63_1-s63_51.TextGrid	lead	lead_nou-vrb	I guess right now what they  what they  primarily worried about is third world countries because I guess united states and and Russia have kind of taken the lead in terms of eliminating c f c production	lid
sw03294_s110_1-s110_21.TextGrid	lead	lead_nou-vrb	Well and sometimes that s this is just the lead in to a sales pitch too	lid
sw04342_s77_3-s77_42.TextGrid	lead	lead_nou-vrb	But uh a and occasionally I i pick up like time magazine or something I think uh if they  got an interesting lead story	lid
sw02784_s21_1-s21_109.TextGrid	lead	lead_nou-vrb	Why I i m I m a little concerned about today is that this uh rather uh quick and and easy I do n't know I should n't say easy rather quick victory in the in in the uh  uh uh over the uh  uh might lead us into uh a false sense of security that we can do that against any other foe	lid
