homograph	wordid	sentence	start	end	orig_idx
present	present_vrb	It can also present with symptoms indicative of hepatosplenomegaly and the resulting upper quadrant pain this causes.	12.0	19.0	8520.0
present	present_adj-nou	He was also a Minister in Mulayam Singh's cabinet in UP.At present he is representing Zamania.	59.0	66.0	8557.0
present	present_adj-nou	The station received its present name on 13 November 1901.	25.0	32.0	12382.0
present	present_adj-nou	From 1979 to 1988, several additional purchases brought the park up to its present size of 816 acres.	75.0	82.0	8533.0
present	present_vrb	In pursuing this direction of modern art, artists wanted to present each painting as one unified, cohesive, monolithic image.	60.0	67.0	8541.0
present	present_adj-nou	The most common geologic structure where it is present is in sillimanite-quartz veins which are paired closely with gahnite.	47.0	54.0	8502.0
present	present_adj-nou	But I kind of stay with my own subject matter what uh pertains to my daily life at the present time			
present	present_adj-nou	The past exists in easy harmony with the present.	41.0	48.0	12387.0
present	present_adj-nou	Species of this genus are present in most of Europe, in the Near East and in North Africa.	26.0	33.0	8487.0
present	present_adj-nou	From the late eighteenth century to the present day.	40.0	47.0	8505.0
present	present_adj-nou	Aurelius begs Ares for his help against Hercules, at his request Ares makes himself present.	84.0	91.0	8508.0
present	present_adj-nou	Not until 1977 did the Village Council find a permanent home in the present Village Hall complex.	68.0	75.0	8497.0
present	present_vrb	It s more in how you present it versus you know who s right			
present	present_adj-nou	"Until the present this remains the only significant translation of a major Latin scholastic work in modern Hebrew."""	10.0	17.0	8477.0
present	present_adj-nou	At present, their remains lie within the Manila North Cemetery.	3.0	10.0	8516.0
present	present_adj-nou	Of course uh you being from new Mexico you  probably been n to Washington especially if you  your present location			
present	present_adj-nou	Kosar's symptoms have included insomnia, slurred speech and a ringing in his head, some present for more than a decade.	88.0	95.0	8554.0
present	present_adj-nou	Brown's party eventually surveyed as far west as present-day Little Rock, while Robbins continued north to the Missouri River.	49.0	56.0	8560.0
present	present_adj-nou	And uh I find a little present on the floor sometimes when I come home			
present	present_adj-nou	But then so I took the ones from fifty two on to the present			
present	present_adj-nou	The diocese in present structure and territory was established on May 27, 1997.	15.0	22.0	8553.0
present	present_adj-nou	They also forced Japanese shipping into waters where American submarines were present.	78.0	85.0	8503.0
present	present_adj-nou	In the late 1st century the Romans built a fort, Ardotalia, on high ground above the river in present-day Gamesley.	94.0	101.0	8515.0
present	present_adj-nou	The horns are longer than in most other breeds and are also present in both males and females.	60.0	67.0	8523.0
present	present_adj-nou	The present church was re-erected in 1908 with the collapse of the former structure.	4.0	11.0	8479.0
present	present_adj-nou	He was consecrated as Mar Thoma V. No bishops were present for his consecration.	51.0	58.0	8484.0
present	present_adj-nou	But at the present stage you probably are even more in the market for a a budgetary thing than than most people probably  might be in terms of keeping keeping score of input and output			
present	present_adj-nou	The third and final school, designed by Walter W. LaChance, was opened in 1909 and remains to the present day.	98.0	105.0	8507.0
present	present_vrb	The programming characteristics of the Nintendo 64 present unique challenges, with distinct potential advantages.	51.0	58.0	8527.0
present	present_adj-nou	I told him  if you want to give me a present for christmas give me a 			
present	present_adj-nou	In 1870, the Drums school was moved to a new location across the road from the present Drums school.	79.0	86.0	8474.0
present	present_adj-nou	Eventually, out of 22 present, it is revealed that two characters share the same birthday, May 23.	22.0	29.0	8529.0
present	present_adj-nou	The face is completely symmetrical and almost intact, but the left eye lacks the inlay present in the right.	87.0	94.0	12384.0
present	present_adj-nou	At present, Fiame is the Minister of Justice and Courts Administration.	3.0	10.0	8476.0
present	present_adj-nou	Bezhetsky Uyezd was situated in the eastern part of the governorate (in the eastern part of the present-day Tver Oblast).	96.0	103.0	8546.0
present	present_adj-nou	At present prototype F-35's have the equivalent of a Lockheed Martin Sniper XR built in.	3.0	10.0	8549.0
present	present_vrb	We present an attempt at such a model.	3.0	10.0	12389.0
present	present_adj-nou	This was later upgraded to Airbus A320, Airbus A330 and is being used up till the present time.	82.0	89.0	8488.0
present	present_adj-nou	On April 15, 1977 the station platform was considerably extended, from 35.9 meters to its present 61.0 meters in length.	90.0	97.0	8504.0
present	present_adj-nou	Above the present modern chancel arch is a pointed opening, now filled in, which may have been a window.	10.0	17.0	8551.0
