homograph	wordid	sentence	start	end	orig_idx
lead	lead_nou-vrb	It was written by their saxophonist Lee Thompson and their co-lead vocalist Carl Smyth.	62.0	66.0	6867.0
lead	lead_nou-vrb	The music video was directed by Ryan Khan with Taromi Lourdes Joseph as the lead female actress (Alice).	76.0	80.0	6868.0
lead	lead_nou-vrb	Sean O'Connor nearly doubled the lead from a free-kick but it was tipped over the bar by Peter Cherrie.	33.0	37.0	6905.0
lead	lead_nou-vrb	Johnson played the lead role in a new Flash Gordon TV series that debuted on Sci Fi in August 2007.	19.0	23.0	6897.0
lead	lead_nou	Copper and antimony act as hardeners while lead is more common in the lower grades of pewter, which have a bluish tint.	43.0	47.0	6945.0
lead	lead_nou-vrb	As the lead singer/lead guitarist with Bay Area rockers Y&T, Meniketti has sold over 4 million records worldwide.	7.0	11.0	6880.0
lead	lead_nou-vrb	Wilson got the jump on the restart, and pulled out to over a 4-second lead to preserve the win.	70.0	74.0	6912.0
lead	lead_nou	Modern pewters are available that are completely free of lead	57.0	61.0	6882.0
lead	lead_nou-vrb	The film starred Shivrajkumar and Sudha Rani in lead roles with both making their debuts.	48.0	52.0	6942.0
lead	lead_nou-vrb	"And then the flyest lead singer the world has ever seen comes on and starts singing some shit."""	20.0	24.0	6881.0
lead	lead_nou-vrb	NOAA was one of the lead agencies responsible for responding to the oil spill.	20.0	24.0	6935.0
lead	lead_nou-vrb	It s a story of all the politics and uh lobbying and just basically state by state events that lead to the events that brought about the civil war			
lead	lead_nou-vrb	The escalating attacks lead Amazon leaders Phillipus and Artemis to question Hippolyta's motives.	23.0	27.0	6910.0
lead	lead_nou-vrb	Lester Square (born Thomas Woodburne Bruce Hardy, April 17, 1954, Canada) is the Canadian lead guitarist for The Monochrome Set.	90.0	94.0	6948.0
lead	lead_nou-vrb	They need to have some some young guys that can take the lead			
lead	lead_nou	Lead is soft and malleable, and has a relatively low melting point.	0.0	4.0	6949.0
lead	lead_nou-vrb	Manterola was nominated for a TVyNovelas Award for Best Lead Actress for her work on Apuesta por un Amor.	56.0	60.0	6887.0
lead	lead_nou-vrb	Been to the Future is the solo album by Joey Eppard, the lead vocalist and guitarist for the band 3.	57.0	61.0	6900.0
lead	lead_nou-vrb	The cyclist with the most points lead the classification, and was identified with a polkadot jersey.	33.0	37.0	6964.0
lead	lead_nou-vrb	You know it s too bad that uh it has to be a forty two year old guy to to lead the uh the rangers you know			
lead	lead_nou-vrb	In 2001, he made his debut as a lead actor in a feature film in Peter Cattaneo's Lucky Break.	32.0	36.0	6914.0
lead	lead_nou-vrb	Detroit scored five runs in the ninth inning to take a 7 to 5 lead over Chicago.	62.0	66.0	6865.0
lead	lead_nou-vrb	The band is chosen every three months from the community of St. Saviour, to lead the difficult confined life.	76.0	80.0	6932.0
lead	lead_nou-vrb	At first, Woody Strode was cast in the lead role but Strode changed his mind and dropped out.	39.0	43.0	6961.0
lead	lead_nou-vrb	It was released through Wax Records as the lead single from the album on October 30, 2012.	43.0	47.0	6967.0
lead	lead_nou-vrb	The Packers would hold the lead for the rest of the game.	27.0	31.0	6953.0
lead	lead_nou-vrb	The angular recesses lead to eight small octagon rooms, four below and as many above with separate stairs to each.	21.0	25.0	6934.0
lead	lead_nou	The use of Siberian red lead as a paint pigment then developed rapidly.	24.0	28.0	6911.0
lead	lead_nou-vrb	The contestant in the lead after this round advanced to the Grand Savant Round.	22.0	26.0	6883.0
lead	lead_nou	It is traditionally composed of 85–99% tin, mixed with copper, antimony, bismuth, and sometimes lead, although the use of lead is less common today.	98.0	102.0	12204.0
lead	lead_nou	Other inactive mines include a copper mine on the northwestern slope of Hog's Back and a lead mine in Leadville.	89.0	93.0	6896.0
lead	lead_nou-vrb	Anquetil won almost three minutes on Gaul and extended his lead to more than ten minutes.	59.0	63.0	6909.0
lead	lead_nou	Lead is a chemical element with symbol Pb (from the Latin plumbum) and atomic number 82.	0.0	4.0	6913.0
lead	lead_nou	Lead has the highest atomic number of any stable element and concludes three major decay chains of heavier elements.	0.0	4.0	6925.0
lead	lead_nou-vrb	The Office of the Assistant Secretary of Defense, Heath Affairs is the designated lead component for this sector.	82.0	86.0	6899.0
lead	lead_nou-vrb	In 978, Bardas was recalled by Basil II to lead the imperial forces against the rebellion of Bardas Skleros.	43.0	47.0	6950.0
lead	lead_nou-vrb	Vishnu featured in the male lead role in both these films.	28.0	32.0	6966.0
lead	lead_nou-vrb	Exceeding the Tolerable Upper Intake Level of 400 micrograms per day can lead to selenosis.	73.0	77.0	6941.0
lead	lead_nou-vrb	Dale Earnhardt, who was running third, slipped by, and took over the lead.	69.0	73.0	6894.0
lead	lead_nou-vrb	In 1980, he resigned from the ACB, to lead a more secluded life.	38.0	42.0	6892.0
lead	lead_nou-vrb	Despite a lower stroke rate, the Light Blues had extended their lead to three lengths by Hammersmith Bridge.	64.0	68.0	6957.0
lead	lead_nou	Lead is a relatively unreactive post-transition metal.	0.0	4.0	6955.0
