homograph	wordid	sentence	start	end	orig_idx
produce	produce_vrb	This in turn is expected to produce more spiritual seeking, although not exclusive to religious institutions.	28.0	35.0	8624.0
produce	produce_vrb	They also produce additional products and accessories such as fireplace inserts, free-standing stoves, gas log sets, and venting products.	10.0	17.0	8641.0
produce	produce_nou	Aquaculture has been identified as a critical industry, due to the popularity of its produce and the declining yields world-wide.	85.0	92.0	12398.0
produce	produce_vrb	The flowers produce abundant nectar and attract insects and birds.	12.0	19.0	8590.0
produce	produce_vrb	This season featured 19 half-hour segments which were combined and aired to produce 14 distinct episodes, directed by 11 directors.	76.0	83.0	8635.0
produce	produce_vrb	The Stage 2 committees, unlike the Stage 1 committees, do not produce a report on the Bill.	62.0	69.0	8609.0
produce	produce_vrb	Pharmaceutical companies which produce antivenom target their products against the species native to a particular area.	31.0	38.0	8587.0
produce	produce_vrb	Everton was the first club to produce regular match programmes.	30.0	37.0	8629.0
produce	produce_vrb	In the fall of 2000, Romp.com signed a development deal with Mandalay Sports Entertainment to produce reality game shows.	94.0	101.0	12394.0
produce	produce_vrb	They produce a stomach oil made up of wax esters and triglycerides that is stored in the proventriculus.	5.0	12.0	8607.0
produce	produce_vrb	They have a compact body and produce an average of one liter of milk each day.	29.0	36.0	8591.0
produce	produce_vrb	The backers were impressed, and contracts were drawn up to produce 50 units.	59.0	66.0	8584.0
produce	produce_vrb	Well another thing I think would be helpful would be to have some sort of of say a national curriculum because one of the problems with getting good textbooks is that we have such a fragmented system for uh  that the textbook makers produce a textbook that will sell in Texas and California			
produce	produce_vrb	Prism rotators use multiple internal reflections to produce beams with rotated polarization.	52.0	59.0	8603.0
produce	produce_vrb	The the difficulty with with dancing with wolves is that when you make a movie like that and you produce it and then you star in it uh the question is did he did he really know it was going to be good			
produce	produce_vrb	Buttons are chewed to produce the effects or soaked in water to drink.	22.0	29.0	8630.0
produce	produce_vrb	At Turner Upfront TNT has announced to produce a pilot for a US remake of the German series.	39.0	46.0	8602.0
produce	produce_vrb	They then produce samizdat literature that breathes hatred against everything human and to the Soviet Union especially.	10.0	17.0	8582.0
produce	produce_vrb	Plants grow from egg-shaped tubers that produce short runners and a basal rosette of leaves.	40.0	47.0	8571.0
produce	produce_nou	To impart education in regulated marketing of agricultural produce.	59.0	66.0	8606.0
produce	produce_vrb	China learned from India how to produce sugar and began trading it to Japan.	32.0	39.0	8565.0
produce	produce_vrb	Male fetuses produce H-Y antigens which may be involved in the sexual differentiation of vertebrates.	13.0	20.0	8579.0
produce	produce_vrb	Yamano Hajime, using the pen-name Nekojiru-y, took over Nekojiru's world, and continues to produce new works.	91.0	98.0	8583.0
produce	produce_vrb	Feather obtained the first evidence that neutrons can produce nuclear disintegrations.	54.0	61.0	8599.0
produce	produce_vrb	Hanhart used a complex layering of tint stones, to produce work unique in colouration and tonal values.	51.0	58.0	8612.0
produce	produce_vrb	Algaculture could potentially produce far more oil per unit area.	30.0	37.0	8614.0
produce	produce_vrb	Coronado students produce a weekly television show for the student body, which is downloadable from the school's podcast.	18.0	25.0	8585.0
produce	produce_vrb	The map was drawn at twice final map scale, and photographically reduced to produce the five film positives for printing.	76.0	83.0	8633.0
produce	produce_vrb	Females produce litters of one to six young either annually or biennially.	8.0	15.0	8625.0
produce	produce_vrb	The surrounding areas produce wheat and other cereal crops.	22.0	29.0	8578.0
produce	produce_vrb	Gloster therefore embarked on a redesign programme to produce a new version of the Meteor with better performance.	54.0	61.0	8588.0
produce	produce_vrb	This school would go on to produce fifty world champions and two Olympic champions.	27.0	34.0	8620.0
produce	produce_vrb	Frequently, bricklayers laid the bricks in such a way as to produce dentils in the courses.	60.0	67.0	8568.0
produce	produce_vrb	This practice originates from the belief the person's dead spirit may need to produce payment into the spirit realm.	78.0	85.0	12393.0
