homograph	wordid	sentence	start	end
abuse	abuse_nou	Prevention of Mental Disorders, Substance Abuse, and Problem Behaviors: A Developmental Perspective.	42	47
abuse	abuse_nou	Incidence of drug abuse is minuscule, compared with other industrialized nations and limited mainly to stimulants.	18	23
abuse	abuse_nou	He has worked to fund public education and to protect youth from abuse.	65	70
abuse	abuse_nou	Defiance of, or appeals to, the Nationalities Law met with derision or abuse.	71	76
abuse	abuse_nou	She also has a certificate as a sexual abuse counsellor.	39	44
abuse	abuse_nou	The charges of third-degree sexual abuse were dropped.	35	40
abuse	abuse_nou	Environmental factors in the individual's adolescence include: child abuse, exposure to drugs, lack of supervision, media influence, and peer pressure.	69	74
abuse	abuse_nou	Etiological correlates of vaginismus: Sexual and physical abuse, sexual knowledge, sexual self-schema, and relationship adjustment.	58	63
abuse	abuse_nou	Similarly the novel deals with the misuse and abuse of land in the south.	46	51
abuse	abuse_nou	In accordance, although very rare, case reports of modafinil abuse exist.	61	66
abuse	abuse_nou	Satan's Silence: Ritual Abuse and the Making of a Modern American Witch Hunt.	24	29
abuse	abuse_nou	There are allegations of torture and abuse of prisoners.	37	42
abuse	abuse_nou	Tanenbaum notes that MacKinnon misrepresents the prevalence of violence and abuse.	76	81
abuse	abuse_nou	After a long struggle with drug abuse, Breau was finally sober.	32	37
abuse	abuse_nou	Stedman SJ, Tanner F. Refugee Manipulation: War, Politics, and the Abuse of Human Suffering.	67	72
abuse	abuse_nou	One student pleaded guilty to second degree sexual abuse.	51	56
abuse	abuse_nou	Black women were prohibited from defending themselves against any type of abuse, including sexual, at the hands of white men.	74	79
abuse	abuse_nou	In retaliation to this, a report into child sexual abuse in the Northern Territory was commissioned.	51	56
abuse	abuse_nou	The Speed Culture: Amphetamine Use and Abuse in America.	39	44
abuse	abuse_nou	The album's lyrics focus on subjects such as propaganda, Catholic sex abuse cases, terrorism and fame.	70	75
abuse	abuse_nou	Child abuse was a problem, and the government continued its efforts to monitor abuse and prosecute offenders.	79	84
abuse	abuse_nou	They urged civilian review boards to hear complaints of police abuse, a demand that was ultimately met.	63	68
abuse	abuse_nou	Some such suits accuse the Vatican of complicity in sexual abuse by priests and money laundering.	59	64
abuse	abuse_nou	However, history has still shown the abuse of the vulnerable members of society through medical and psychiatric institutions.	37	42
abuse	abuse_nou	Princess is a child abuse survivor studies, who was abused several times by her close associates.	20	25
abuse	abuse_nou	He chaired the 1992 Orkney child abuse inquiry.	33	38
abuse	abuse_nou	One commentator suggested it was part of a pattern of sexual abuse of prisoners.	61	66
abuse	abuse_nou	In running the site, police rescued 85 children from ongoing abuse and arrested hundreds.	61	66
abuse	abuse_nou	The Making of Addiction: The 'Use and Abuse' of Opium in Nineteenth-Century Britain.	38	43
abuse	abuse_nou	His abuse is interrupted by the arrival of Ramvati's son, Jeeva, who intervenes.	4	9
abuse	abuse_nou	Advocacy services that encourage victims to establish abuse-free lives.	54	59
abuse	abuse_nou	Jersey Police have so far recorded claims of abuse from 100 people.	45	50
abuse	abuse_nou	Developing and implementing AOD abuse prevention strategies.	32	37
